"H (kA_per_meter)" 	"B (tesla)"
163 	0.186271731
164 	0.18674647899999999
165 	0.187218994
165 	0.18768928400000001
166 	0.188157357
167 	0.18862322100000001
167 	0.18908688400000001
168 	0.189548354
169 	0.19000763900000001
169 	0.19046474799999999
170 	0.190919687
171 	0.19137246599999999
172 	0.191823092
172 	0.192271574
173 	0.19271791799999999
174 	0.19316213400000001
174 	0.19360422899999999
175 	0.19404421199999999
176 	0.194482089
176 	0.19491786999999999
177 	0.19535156200000001
178 	0.19578317200000001
178 	0.19621271000000001
179 	0.196640182
180 	0.19706559700000001
181 	0.19748896299999999
181 	0.19791028599999999
182 	0.19832957700000001
183 	0.19874684100000001
183 	0.19916208699999999
184 	0.199575323
185 	0.19998655600000001
185 	0.20039579399999999
186 	0.20080304600000001
187 	0.201208318
188 	0.20161161899999999
188 	0.20201295599999999
189 	0.202412337
190 	0.20280977
190 	0.203205262
191 	0.20359882100000001
192 	0.20399045399999999
192 	0.20438017
193 	0.20476797499999999
194 	0.20515387800000001
194 	0.205537886
195 	0.20592000599999999
196 	0.20630024699999999
197 	0.20667861500000001
197 	0.20705511800000001
198 	0.20742976399999999
199 	0.207802559
199 	0.208173512
200 	0.20854263000000001
201 	0.208909921
201 	0.20927539100000001
202 	0.20963904799999999
203 	0.21000089899999999
203 	0.21036095199999999
204 	0.21071921499999999
205 	0.21107569300000001
206 	0.21143039599999999
206 	0.21178332899999999
207 	0.2121345
208 	0.21248391699999999
208 	0.21283158599999999
209 	0.21317751500000001
210 	0.213521711
210 	0.21386418099999999
211 	0.21420493199999999
212 	0.214543971
213 	0.21488130499999999
213 	0.21521694199999999
214 	0.215550889
215 	0.215883151
215 	0.21621373699999999
216 	0.216542654
217 	0.216869908
217 	0.21719550600000001
218 	0.217519455
219 	0.21784176199999999
219 	0.21816243399999999
220 	0.21848147800000001
221 	0.21879890099999999
222 	0.21911470899999999
222 	0.21942890900000001
223 	0.219741508
224 	0.22005251300000001
224 	0.22036193000000001
225 	0.22066976699999999
226 	0.22097602899999999
226 	0.22128072300000001
227 	0.221583857
228 	0.22188543599999999
228 	0.222185468
229 	0.22248395800000001
230 	0.222780914
231 	0.22307634100000001
231 	0.22337024699999999
232 	0.223662638
233 	0.22395351999999999
233 	0.2242429
234 	0.22453078400000001
235 	0.22481717900000001
235 	0.225102091
236 	0.225385525
237 	0.22566749
238 	0.22594798999999999
238 	0.22622703299999999
239 	0.22650462399999999
240 	0.22678076999999999
240 	0.22705547700000001
241 	0.22732875
242 	0.22760059799999999
242 	0.22787102400000001
243 	0.22814003599999999
244 	0.22840764
244 	0.22867384099999999
245 	0.228938647
246 	0.22920206200000001
247 	0.22946409300000001
247 	0.22972474500000001
248 	0.22998402600000001
249 	0.23024194100000001
249 	0.230498495
250 	0.23075369500000001
251 	0.23100754600000001
251 	0.23126005399999999
252 	0.23151122599999999
253 	0.23176106699999999
253 	0.23200958299999999
254 	0.232256779
255 	0.232502662
256 	0.232747237
256 	0.23299050900000001
257 	0.23323248599999999
258 	0.23347317100000001
258 	0.23371257100000001
259 	0.23395069099999999
260 	0.234187538
260 	0.23442311599999999
261 	0.234657432
262 	0.23489049000000001
263 	0.23512229600000001
263 	0.235352856
264 	0.235582176
265 	0.23581025999999999
265 	0.23603711399999999
266 	0.236262743
267 	0.236487154
267 	0.23671035100000001
268 	0.23693233899999999
269 	0.23715312499999999
269 	0.23737271200000001
270 	0.237591107
271 	0.23780831499999999
272 	0.238024341
272 	0.23823919099999999
273 	0.23845286800000001
274 	0.23866538000000001
274 	0.23887673000000001
275 	0.23908692400000001
276 	0.239295967
276 	0.23950386400000001
277 	0.23971062100000001
278 	0.239916242
278 	0.240120732
279 	0.24032409599999999
280 	0.24052634000000001
281 	0.240727468
281 	0.240927486
282 	0.24112639699999999
283 	0.24132420800000001
283 	0.241520923
284 	0.241716546
285 	0.241911084
285 	0.24210453900000001
286 	0.242296919
287 	0.242488226
288 	0.24267846600000001
288 	0.24286764399999999
289 	0.24305576500000001
290 	0.24324283299999999
290 	0.243428852
291 	0.243613828
292 	0.243797765
292 	0.24398066800000001
293 	0.24416254100000001
294 	0.24434338999999999
294 	0.24452321799999999
295 	0.24470202999999999
296 	0.24487983099999999
297 	0.245056625
297 	0.24523241600000001
298 	0.24540720999999999
299 	0.24558101099999999
299 	0.24575382300000001
300 	0.24592565
301 	0.246096497
301 	0.24626636900000001
302 	0.24643526900000001
303 	0.24660320199999999
303 	0.24677017300000001
304 	0.246936185
305 	0.247101244
306 	0.24726535199999999
306 	0.24742851499999999
307 	0.24759073700000001
308 	0.24775202199999999
308 	0.24791237499999999
309 	0.24807179800000001
310 	0.24823029699999999
310 	0.24838787600000001
311 	0.24854453900000001
312 	0.24870028899999999
313 	0.24885513200000001
313 	0.249009071
314 	0.24916210999999999
315 	0.24931425300000001
315 	0.249465505
316 	0.24961586899999999
317 	0.249765349
317 	0.249913949
318 	0.25006167400000001
319 	0.25020852599999999
319 	0.250354511
320 	0.25049963200000003
321 	0.25064389199999998
322 	0.25078729700000002
322 	0.25092984899999998
323 	0.25107155199999998
324 	0.25121241100000002
324 	0.25135242800000002
325 	0.251491609
326 	0.25162995599999999
326 	0.25176747399999999
327 	0.25190416500000001
328 	0.252040035
328 	0.25217508599999999
329 	0.252309322
330 	0.25244274700000002
331 	0.252575365
331 	0.252707179
332 	0.25283819299999999
333 	0.25296840999999998
333 	0.25309783400000002
334 	0.25322646900000001
335 	0.25335431800000002
335 	0.253481385
336 	0.25360767299999998
337 	0.253733186
338 	0.25385792699999998
338 	0.25398189900000001
339 	0.254105107
340 	0.25422755400000002
340 	0.254349243
341 	0.25447017700000002
342 	0.25459036000000002
342 	0.25470979599999999
343 	0.25482848699999999
344 	0.254946438
344 	0.25506364999999998
345 	0.25518012899999998
346 	0.25529587599999998
347 	0.255410896
347 	0.25552519200000001
348 	0.25563876699999999
349 	0.25575162299999998
349 	0.25586376500000002
